# label	strategy	pattern	flags	captureKind	captureValue	cardinality	source	resultKind	resultValue
named query	graphqlDefinition						query GetUser($id: ID!) { user(id: $id) { id } }	name	GetUser
input object variable default	graphqlDefinition						query WithDefault($filter: Filter = {active: true}) { users(filter: $filter) { id } }	name	WithDefault
nested input defaults	graphqlDefinition						query NestedDefault($filters: [Filter!] = [{active: true}, {nested: {enabled: false}}]) { users(filters: $filters) { id } }	name	NestedDefault
operation directive object argument	graphqlDefinition						query WithDirective @cache(config: {ttl: 1}) { viewer { id } }	name	WithDirective
mutation with CRLF and tabs	graphqlDefinition						\r\n\tmutation\r\nUpdateUser { updateUser { id } }	name	UpdateUser
subscription after leading comments	graphqlDefinition						# comment\n# another\nsubscription UserChanged { userChanged { id } }	name	UserChanged
query after CR-only comment	graphqlDefinition						# description\rquery AfterCarriageReturn { viewer { id } }	name	AfterCarriageReturn
fragment before operation	graphqlDefinition						fragment UserFields on User { id }\nquery UserWithFragment { user { ...UserFields } }	name	UserWithFragment
fragment after operation	graphqlDefinition						query BeforeFragment { user { ...Fields } }\nfragment Fields on User { id }	name	BeforeFragment
lone fragment	graphqlDefinition						fragment UserFields on User { id name }	name	UserFields
multiple fragments without operation	graphqlDefinition						fragment One on User { id }\nfragment Two on User { name }	error	multiple fragments
anonymous operation	graphqlDefinition						query { viewer { id } }	error	anonymous operation
anonymous shorthand operation	graphqlDefinition						{ viewer { id } }	error	anonymous operation
anonymous operation with fragment	graphqlDefinition						fragment Fields on User { id }\nquery { viewer { ...Fields } }	error	anonymous operation
multiple operations	graphqlDefinition						query One { one }\nmutation Two { two }	error	multiple operations
keywords in comments and strings	graphqlDefinition						# query Fake { nope }\nquery Real { field(arg: \"fragment Fake on User\") }	name	Real
keywords in block string	graphqlDefinition						query BlockString { field(arg: \"\"\"mutation Fake { nope }\"\"\") }	name	BlockString
hash name directive	nameDirectivePython						# @name edgeThing\nselect 1	name	edgeThing
hash comment starts with identifier	nameDirectivePython						#documentation @name documentedThing	name	documentedThing
shell parameter trimming	nameDirectiveShell						value=${path#prefix}; echo \"@name fake\"; # @name realShell	name	realShell
shell single quote final backslash	nameDirectiveShell						value='\\'; # @name realShellQuote	name	realShellQuote
Python triple-quoted string	nameDirectivePython						text = \"\"\"say \" # @name fake\n\"\"\"\n# @name realPython	name	realPython
slash name directive	nameDirective						// @name jsThing\nconst value = 1	name	jsThing
CR-only name directive	nameDirective						// @name carriageName\rconst value = 1	name	carriageName
dash name directive	nameDirectivePostgreSQL						-- @name sqlThing\nselect 1	name	sqlThing
block name directive	nameDirective						/* docs\n * @name blockThing\n */\nselect 1	name	blockThing
nested block name directive	nameDirectivePostgreSQL						/* outer /* nested */ @name nestedThing */ SELECT 1	name	nestedThing
JavaScript block comments close first	nameDirective						/* mention /* token */\n// @name realFirstClose	name	realFirstClose
name directive ignores strings	nameDirective						const fake = \"// @name fake\";\n// @name realThing\nconst value = 1	name	realThing
name directive ignores dollar quote	nameDirectivePostgreSQL						SELECT $$-- @name fake$$;\n-- @name realDollar\nSELECT 1	name	realDollar
name directive ignores tagged dollar quote	nameDirectivePostgreSQL						SELECT $body$# @name fake$body$;\n-- @name realTagged\nSELECT 1	name	realTagged
name directive ignores Unicode dollar quote	nameDirectivePostgreSQL						SELECT $é$/* @name fake */$é$; -- @name realUnicodeTag	name	realUnicodeTag
dollar quote requires boundary	nameDirectivePostgreSQL						SELECT foo$tag$ FROM items;\n-- @name getItems	name	getItems
unicode dollar quote boundary	nameDirectivePostgreSQL						SELECT é$tag$ FROM items;\n-- @name getUnicodeItems	name	getUnicodeItems
ordinary SQL string final backslash	nameDirectivePostgreSQL						SELECT '\\'; -- @name getThing	name	getThing
multiple ordinary SQL strings	nameDirectivePostgreSQL						SELECT '\\', 'x'; -- @name getMultiple	name	getMultiple
ordinary SQL string before concatenation	nameDirectivePostgreSQL						SELECT '\\' || 'x'; -- @name getConcatenated	name	getConcatenated
PostgreSQL quoted identifier final backslash	nameDirectivePostgreSQL						SELECT \"path\\\"; -- @name getPath	name	getPath
escape SQL string backslash quote	nameDirectivePostgreSQL						SELECT E'it\\'s -- @name fake';\n-- @name realEscape	name	realEscape
JavaScript single quote escape	nameDirective						const value = 'it\\'s // @name fake'; // @name realJs	name	realJs
JavaScript regex literal	nameDirective						const value = /# @name fake/;\n// @name realRegex	name	realRegex
JavaScript regex character class	nameDirective						const value = /[\\/#] @name fake/;\n// @name realRegexClass	name	realRegexClass
JavaScript regex after return	nameDirective						function get() { return /# @name fake/ }\n// @name realReturnRegex	name	realReturnRegex
JavaScript regex after condition	nameDirective						if (ready) /# @name fake/.test(value); // @name realConditionalRegex	name	realConditionalRegex
JavaScript regex after else	nameDirective						if (ready) work(); else /# @name fake/.test(value);\n// @name realElseRegex	name	realElseRegex
JavaScript regex after block	nameDirective						if (ready) {} /[/*] @name fake [*/]/.test(value); // @name realAfterBlock	name	realAfterBlock
